,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Commodity Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
313TT,Textile mills and textile product mills,0.000016,0.0000617,0,0.0000106,0,0,0.0006732,0.0031328,0.0015968,0,0.0000038,0.0017587,0.0000003,0.0000004,0.0022618,0.0018416,0.0361516,0.0075848,0.0000585,0.1653295,0.0911722,0.0157036,0.0029587,0.0000418,0.0000019,0.007966,0.000489,0.0000704,0.0001974,0.0103394,0.0007392,0,0,0.0002722,0.0000329,0,0,0.0000333,0.0000071,0.0000012,0.0009837,0.0000032,0.000004,0,0,0,0,0.0000001,0.0000242,0.0002611,0,0,0.0001236,0.0000212,0.0001625,0.0012601,0.0000294,0.0000588,0.0002387,0.0044871,0.0029637,0.0000001,0.0003367,0.0028521,0.0002526,0.0004166,0.0005116,0.0005233,0.000011,0.0004438,0.0000779
315AL,Apparel and leather and allied products,0.0000608,0,0,0,0,0,0,0,0.0000003,0,0,0,0,0,0.0018132,0,0,0.0007148,0.0000101,0.0000149,0.0292115,0,0.0001156,0,0,0.0000002,0.0000624,0.0000028,0,0.0002279,0.000077,0,0,0,0,0,0,0,0,0,0.0000042,0.0000053,0,0,0,0,0,0,0,0.0000258,0,0,0.0000017,0.0000008,0.0000398,0.0002628,0.0000086,0.0000003,0.000003,0,0.0000136,0.000083,0.0001183,0.000019,0.0000018,0.0006992,0.0001576,0.0000338,0.0017945,0.0003422,0.0000473
322,Paper products,0.0011239,0,0.000277,0.0013543,0.0003048,0.0000337,0.001918,0.0095591,0.015788,0.0070091,0.0060542,0.0041832,0.001774,0.0126133,0.008136,0.0015627,0.0214056,0.0134974,0.0232428,0.0087728,0.0005214,0.2319288,0.1040758,0.0002632,0.0062249,0.0186622,0.0028196,0.0005217,0.0026382,0.000857,0.0011322,0.0001315,0.0004913,0.0000302,0.0005284,0.0084204,0.0004068,0.0034323,0.0010914,0.0010234,0.0003321,0.0003783,0.0003429,0.0006077,0.0008131,0.0012432,0.0000056,0.0000002,0.0004033,0.0018012,0.00076,0.0007465,0.0014277,0.000714,0.0044733,0.0024442,0.00136,0.0009388,0.0010971,0.002117,0.0033245,0.0001949,0.00082,0.0098865,0.004048,0.000977,0.0006267,0.0046251,0.0015869,0.0049557,0.000161
323,Printing and related support activities,0.0000212,0,0.0000181,0.0000101,0,0.000012,0.0000186,0.0000119,0,0,0.0000231,0.000006,0,0.0000085,0.0000046,0,0,0,0.0000461,0,0.0000173,0,0.0112941,0.0000013,0.0000667,0,0.0031755,0.0004901,0.0004074,0.0003566,0.0042704,0.0000235,0.0000838,0,0.0002889,0.0008647,0.0000445,0.0006754,0.0000537,0.0051871,0.0021453,0.0003172,0.004543,0.0005226,0.0014696,0.0020864,0,0,0.0000586,0.0007943,0.0010905,0.0003948,0.0016817,0.0009302,0.0021571,0.000088,0.0014688,0.0010981,0.0028607,0.0003798,0.0044815,0.002734,0.0011074,0.0022347,0.0008076,0.0010761,0.0014322,0.0030058,0.0003743,0.0036954,0.0009433
324,Petroleum and coal products,0.0122174,0.0018718,0.0086545,0.0142542,0.0071785,0.023726,0.0182877,0.0033492,0.0026107,0.0084616,0.0014395,0.0023743,0.0005803,0.0056072,0.000376,0.0002192,0.0022743,0.0039029,0.0019735,0.0006505,0.0000311,0.0048427,0.0061192,0.0185351,0.0078025,0.0020133,0.0009038,0.0016483,0.0008313,0.0003733,0.0006793,0.0814617,0.0276934,0.0625707,0.0466609,0.0222214,0.0027067,0.0232118,0.0090986,0.0003055,0.0002581,0.0004325,0.0005505,0.0027207,0.0049242,0.0000598,0.0012733,0.0000097,0.0019652,0.0029525,0.0000726,0.0012916,0.0007261,0.0004984,0.0041164,0.0101109,0.004294,0.0011695,0.0010761,0.002,0.0022092,0.0007325,0.0032753,0.0018911,0.0025133,0.0012901,0.0098918,0.0013805,0.0063395,0.0295254,0.0373151
325,Chemical products,0.0500699,0.0140866,0.0208484,0.016615,0.0096201,0.0022467,0.0084211,0.047429,0.0292781,0.0058679,0.019133,0.0057337,0.0056848,0.0207383,0.0173631,0.0040677,0.0251239,0.0347859,0.0080188,0.22491,0.0050188,0.0402905,0.0585841,0.0255571,0.2266633,0.262771,0.0008023,0.0003123,0.0001872,0.0000824,0.0004429,0.0000046,0.0016313,0.0000457,0.0006228,0.0001886,0.0000222,0.0000937,0.0013596,0.0005953,0.0016202,0.0005941,0.0019042,0.0000362,0.0001346,0.0000589,0,0.0001731,0.0059392,0.0003043,0.0001486,0.0003674,0.0265952,0.005754,0.0089677,0.0121738,0.0027041,0.0359856,0.0203016,0.0088015,0.0017641,0.0009991,0.0033547,0.0002499,0.0012029,0.0031321,0.0048921,0.0067875,0.0006781,0.0187426,0.0155976
326,Plastics and rubber products,0.003598,0.0005637,0.0002414,0.0095038,0.0034331,0.0000178,0.015187,0.0089824,0.0078748,0.0028116,0.0061056,0.0196305,0.0065246,0.0172849,0.0285622,0.0070352,0.0332339,0.0226671,0.0195351,0.0076339,0.0014225,0.0137569,0.0353232,0.0003125,0.0098422,0.0736697,0.0083582,0.0028157,0.005031,0.0012571,0.0029859,0.0008773,0.0000392,0.0000002,0.001645,0.0013005,0.0007504,0.0050725,0.0013926,0.0004178,0.0004929,0.0048071,0.0013604,0.0000345,0.0001578,0.001317,0,0.0000043,0.000271,0.0044267,0.0000517,0.0022107,0.0031551,0.0001356,0.002578,0.003062,0.0016365,0.0072222,0.0046277,0.0061017,0.0061619,0.0001747,0.0014045,0.0005328,0.0064036,0.002831,0.0050963,0.0026124,0.0001418,0.0056032,0.0116603
42,Wholesale trade,0.0866653,0.0262188,0.0314084,0.0392674,0.020894,0.0118521,0.0540532,0.0923773,0.0519898,0.1020796,0.059325,0.0773087,0.0462867,0.0868288,0.1232528,0.0467358,0.0786554,0.051408,0.0890862,0.0677538,0.0476728,0.0744107,0.0506147,0.0344062,0.0647245,0.0839433,0.0279873,0.0133212,0.0079871,0.0087884,0.0154756,0.0135512,0.025947,0.0328484,0.0255785,0.0127544,0.0068217,0.0158037,0.0123134,0.0224393,0.0013617,0.0212853,0.0067926,0.0017998,0.0035258,0.0010204,0.002313,0.0001696,0.0030838,0.0343416,0.0024191,0.0069625,0.0155132,0.0162006,0.0133309,0.0262738,0.0096719,0.0253947,0.019946,0.0116979,0.0198792,0.0033988,0.0138574,0.0097332,0.0234102,0.0153003,0.0316486,0.013122,0.0136075,0.0218836,0.0390417
441,Motor vehicle and parts dealers,0.0000213,0.0000221,0.0006819,0.0018225,0.0008016,0.0000247,0.0013301,0.002736,0.001371,0.0005148,0.0010728,0.0046172,0.0004819,0.0000363,0.0053598,0.0018055,0.0015383,0.0014798,0.0013189,0.0004857,0.000025,0.0019722,0.0006018,0.000001,0.0005144,0.0006141,0.0000137,0.001354,0.0020999,0.0002959,0.0012749,0.0000002,0.0000939,0,0.0034656,0.0000819,0.0000035,0.0000276,0.0002841,0.0001113,0.0001441,0.0000796,0.0000177,0.0000305,0.0000112,0.0000026,0,0.0000333,0.000158,0.0018334,0,0.0000452,0.0002656,0,0.0033594,0.0005395,0,0,0,0,0,0.0000245,0.0001738,0.0001472,0.0001663,0.0049477,0,0,0,0,0.0000123
445,Food and beverage stores,0.000092,0.0000003,0.0000017,0.000001,0,0.0000917,0.0001072,0.000001,0.0000128,0.0000005,0.0000025,0.0000167,0.0000031,0.0000247,0.000006,0,0.0000346,0.0000287,0.0000073,0.0000002,0,0.0000038,0.000234,0.0000023,0.0000473,0.0000037,0.0000033,0.0000176,0.000008,0.0000012,0.0000065,0.0000001,0.000039,0,0.0006557,0.0002806,0.0000015,0.0001186,0.0000001,0.0000002,0.0000007,0.0000001,0.0000023,0.0000026,0.0000036,0.000001,0,0.0000227,0.000017,0.0000044,0.0000006,0.0000011,0.0000023,0,0.0000528,0.0000015,0.0000109,0.000002,0.0000025,0.0000008,0.0000031,0.0000009,0.0000016,0.0000829,0.0011455,0.0000155,0,0.000001,0.0000005,0.000002,0
